idx,date,open,high,low,close,volume,dividends,stock_splits
1,1980-03-17,0.0,0.0716013743,0.0697005689,0.0697005689,3600000,0.0,0.0
2,1980-03-18,0.0,0.0703341491,0.0684333444,0.0684333444,3715200,0.0,0.0
3,1980-03-19,0.0,0.0716013743,0.0697005689,0.0697005689,2016000,0.0,0.0
4,1980-03-20,0.0,0.0728685535,0.0709677488,0.0709677488,3657600,0.0,0.0
5,1980-03-21,0.0,0.0754036637,0.0735021308,0.0735021308,3024000,0.0,0.0
6,1980-03-24,0.0,0.0716013743,0.0697005689,0.0697005689,2649600,0.0,0.0
7,1980-03-25,0.0,0.0697005519,0.067799747,0.067799747,4320000,0.0,0.0
8,1980-03-26,0.0,0.0627309078,0.0608293749,0.0608293749,3312000,0.0,0.0
9,1980-03-27,0.0,0.0582949912,0.0557605848,0.0557605848,9993600,0.0,0.0
10,1980-03-28,0.0,0.064631723,0.0620965883,0.0620965883,6134400,0.0,0.0
11,1980-03-31,0.0,0.0716013402,0.0690669343,0.0690669343,6134400,0.0,0.0
12,1980-04-02,0.0,0.0674829478,0.0646317378,0.0646317378,4147200,0.0,1.5
13,1980-04-03,0.0,0.0693837339,0.0665325299,0.0665325299,4646400,0.0,0.0
14,1980-04-07,0.0,0.0646317202,0.0617797822,0.0617797822,940800,0.0,0.0
15,1980-04-08,0.0,0.0674829478,0.0646317378,0.0646317378,1152000,0.0,0.0
16,1980-04-09,0.0,0.0665325464,0.0636813417,0.0636813417,2400000,0.0,0.0
17,1980-04-10,0.0,0.0665325464,0.0636813417,0.0636813417,1152000,0.0,0.0
18,1980-04-11,0.0,0.0665325464,0.0636813417,0.0636813417,1056000,0.0,0.0
19,1980-04-14,0.0,0.0665325464,0.0636813417,0.0636813417,326400,0.0,0.0
20,1980-04-15,0.0,0.0655821173,0.0627309084,0.0627309084,1094400,0.0,0.0
21,1980-04-16,0.0,0.0655821173,0.0627309084,0.0627309084,960000,0.0,0.0
22,1980-04-17,0.0,0.0655821173,0.0627309084,0.0627309084,979200,0.0,0.0
